",""text"""
"1,""nomor """
"2,""aplikasi shopee bagus komplit opsi nya"""
"3,""aplikasi terdebest"""
"4,""bagus"""
"5,"" potongan harga nya """
"6,"" promonya sesuai barangnya murah harganya"""
"7,"" kesini karena muncul iklan shope game  asuu """
"8,""hai aplikasi log in jaringan baik baik shopee jadi aneh"""
"9,"" cekout shopeepaylater bayar lunas tagihan ny kemarin via indomaret muncul kalimat selesaikan tagihan shopeepaylater gimana shopee lambat pelayanan ny dr td chat disuruh menunggu mulu dikabari v """
"10,""bagus pokok nya"""
"11,""baguslaahhh """
"12,""lumayan bagus """
"13,""makasih shopee"""
"14,""membantu bagi orang yang suka belnja dgn cra brpergian tooop ibuk shopee semga sehat """
"15,""penjual suka beda foto asli nya suka memberi barang sobek cacat blokir ya min biar tidak bikin resah terimakasih tetap jadi pelanggan setia shopee """
"16,""sejauh baik memuaskan barang datang sesuai ekspektasi sesuai harganya banyaknya metode pembayaran menambah kenyamanan yang pengguna baik bilang platransferorm olshop recomended banget"""
"17,""sejauh lumayan nyaman transaksi shopee """
"18,"" memuaskan"""
"19,""suka belanja sophie karena free ongkir """
"20,""sukses """
"21,""aplikasi favorit """
"22,""aplikasi membela penjual penjual barang rusak menyesal beli shoppe jelasin lewat chat shoppe email terkait tidak bantu tutup aja aplikasi berguna jual barang rusak masukin shoppe """
"23,""aplikasinya bagus lengkap shopee """
"24,""aplikasinya membantu mencari buku  referensi terlenih dimasa pandemi """
"25,""awalnya pengguna tokoonline sebelah berlogo warna merah pencinta berubah menjadi opsi kedua  perbandingan harga shopee jadi favorite free ongkir """
"26,""bagus"""
"27,""bagus bet """
"28,"" shopeenya e market """
"29,"" promo"""
"30,""barang bagus pengiriman cepat kurinya sopan"""
"31,""bener puas belanja produk yang beraneka ragam segi pelayanan memuaskan membantu """
"32,""berguna  mengisi kebutuhan harus keluar rumah"""
"33,"" bagus up """
"34,"" coba ya"""
"35,""gimana sih aplikasi udah perbarui buka profil toko tidak foto muter mulu gg perbarui bagus abis perbarui tidak buka profil muter trusss herann"""
"36,""gimna sih shoppe opsi pengirimanya tidak ubah """
"37,""bagus olshop"""
"38,""i like it so much"""
"39,""iklanmu mengganggu """
"40,""jangan tampung petipu"""
"41,""karena dpaat shoppepaylater"""
"42,"" sih ntidak melihat toko jual produk suka tulisan halaman perbaiki kira satu toko perbaiki eh ternyata toko ntidak lihat gimana sih  perbaiki """
"43,"" sistem cod hilangkan gratis ongkir nya dikit n udah beli vocer udh bayar habis"""
"44,""bagus"""
"45,""kenapa  kurir sicepat tidak terupdate"""
"46,"" shopee pay later"""
"47,""lumayan"""
"48,""lumayan membantu tp  pengiriman menggunakan shoppe prosesnya"""
"49,""lumayan mudah  gunakan"""
"50,""maaf kasih bintang satu pengguna shopee belanja shopee tp tidak shopee paylater shope pinjam yang baru daftar menggunakan nya"""
"51,""makasih shopee  teman belanja online"""
"52,"" mudah mencari barang"""
"53,""bagus """
"54,""bagusp"""
"55,""baguspp banget"""
"56,""masyuk"""
"57,""memberikan kemudahan berbelanjaaa """
"58,""memuaskan"""
"59,""mencari produk yang jadi mudah """
"60,""menghapus ulasan pelanggan hahahaha"""
"61,"" pertahakankan kepercayaan orang memakai aplikasi perbarui masalah chat toko nya dilihat pesan udah baca belumnya """
"62,""mudah pembelian barang voucher banya yang pke shopeepay """
"63,""ngapain selalu ganggu game orang gw main selalu muncul iklah sopi ga minta iklan double coin teep aja muncul iklan g skip"""
"64,""ollshop no indonesia"""
"65,""ongkir mahal banget"""
"66,""pembeliaan d shopee aman lancar tepat waktu sukses  shopee """
"67,""pengirimannya cepat produk sesuai syangnya harus diinstal aplikasi hp tidak bs lapbagus klw tidak pnya aplikasi hp mk pesanan yang gagal tidak bs kembali uangnya karena harus punya akun shopee pay"""
